MSA,1Q2017,2Q2017,3Q2017,4Q2017,1Q2018,2Q2018,3Q2018,4Q2018,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022
"Richmond, VA",7,10.7,5.6,6,6.6,5.5,4.4,5.1,7.6,13.6,10.7,7.1,5.1,2.7,0.5,2.7,2,1.6,2.5,1.1,3.1,1.9,1.7
"Riverside-San Bernardino-Ontario, CA",6.7,6.6,5.2,3.8,4,6.1,4.7,5.4,5.5,3.7,5.5,3.3,3.9,3.6,4.9,5.4,2.6,5.9,2.2,1.8,2.4,5.3,3.4
"Rochester, NY",5.1,4.2,9.3,7.6,7.5,5.3,5.9,3.6,6.9,4,9.1,3,5.2,0.6,1.2,1.7,5.7,2.2,2.3,2.8,7.7,1.5,6.5
"Sacramento--Roseville--Arden-Arcade, CA",1.2,5.9,5.8,4.5,5.6,5.4,3.3,5.7,3.7,5.9,5.1,2.7,6.5,2.3,3.6,3.9,3.2,2.9,3.1,5.4,3,0.9,3.1
"St Louis, MO-IL",4.9,8.1,9.8,9.2,9.6,5.6,6.9,6.6,8.1,7.6,10.6,9.1,5.5,4.4,5.6,5.8,6.4,7.6,6.8,5.4,2.6,6.6,9.3
"Salt Lake City, UT",3.8,6,9.3,5.2,6.6,7.5,5.1,5,6.5,4.4,5.3,3.6,9.4,4,6.1,5.5,6,6.1,2.3,2.5,6.2,4.6,4.6
"San Antonio-New Braunfels, TX",13.4,10,10.1,12.5,7.6,8.6,5.5,7.8,9.3,13.1,9,8.9,7.5,8.3,6.7,6.3,10.8,9.2,7.2,6.1,6.9,10.1,8.4
"San Diego-Carlsbad, CA",3.6,3.6,5.8,2.7,4.8,4.8,3.9,4.4,5.5,7,7,3.8,3.2,2.4,6.6,3.4,3.7,2.7,2.5,3.3,3.7,4.4,3.1
"San Francisco-Oakland-Hayward, CA",4.3,4.4,3.3,4.8,4.3,5.5,6.7,4.9,3.9,4.7,3.3,3.3,2.9,3,6.7,8.5,7.9,8.7,4.3,5.2,5.6,5.4,5.2
"San Jose-Sunnyvale-Santa Clara, CA",5.4,3.5,2.4,1.4,6.3,3.6,3.8,4.6,2.5,2,3.7,6.3,3.9,1.5,3.4,8.5,6.5,6.1,9.4,4.6,3.7,5.2,4.6
"Seattle-Tacoma-Bellevue, WA",1.9,4.7,3.6,3.4,4.6,4.1,5.5,5,3.9,3.3,4.6,5.6,3.7,2.1,4.2,4.4,4.8,6,5.8,4.5,5.7,3.4,5.5
"Syracuse, NY",13.6,3.5,5.2,4.1,2.4,3.7,5.3,14.7,17.9,5,11.8,11.8,8.7,7,14.9,14,8.2,7,9.9,12,4.9,6.6,10.5
"Tampa-St Petersburg-Clearwater, FL",10.6,10.6,9.6,7.8,9.9,11.8,9,9,11.8,12,10,8.8,9.7,9.2,9,7.7,8.1,7.9,7,6.3,8.4,6.8,9.7
"Toledo, OH",4.6,8.8,12.6,12.8,6.7,8.1,22.9,13.8,18.1,7.4,4.3,10.6,15.9,4.5,(z),4.4,12.4,0.9,1.1,1.2,5.1,13.6,5.7
"Tucson, AZ",7.9,8.5,6.8,4,3.9,4,6.5,2.9,5,8.1,10,6.8,5.1,10.6,13.8,7.2,3,7.4,8.1,2.1,7.6,5.6,11.1
"Tulsa, OK",9.9,6,8.5,9.3,11,8.2,14.1,7.3,7,8.6,10.3,7.9,9.4,11.2,9.2,5.4,7.4,3.5,5.6,5,6.2,5.1,3.3
"Urban Honolulu, HI",9.4,8.6,7.3,6.9,8.2,7.8,4.4,5.4,5.9,6,6,4.6,6.2,5.5,6,4.4,7.1,5.5,2.5,5.4,5.9,4.3,6.7
"Virginia Beach-Norfolk-Newport News, VA-NC",8.6,8.1,10.1,5.8,5.2,6.2,8.5,8.8,8.5,6.2,6.5,7.3,5.4,3.9,4.7,8.7,7.4,2.8,7,4.6,6.8,8.2,3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,6.1,6.7,6.1,7.7,5.5,6.8,4.8,5.9,6.1,5.1,5.2,6.8,3.7,5.4,5.9,5.6,6.2,6.5,5.3,6.8,5.2,4.3
"Worcester, MA",4.1,3.8,3.5,4.3,4.4,1.8,2.8,1.6,4.5,4.7,1.1,0.4,3.4,(z),(z),1,2.4,2.6,0.5,3.3,2.1,2.3,1.8
